1958	264.365	-5.073	NaN	NaN
1959	245.948	-5.344	NaN	NaN
1960	246.757	-3.585	NaN	NaN
1961	78.725	-6.774	NaN	NaN
1962	126.721	-5.754	NaN	NaN
1963	143.584	-5.317	NaN	NaN
1964	54.639	-6.876	NaN	NaN
1965	166.213	-5.118	NaN	NaN
1966	206.894	-4.704	NaN	NaN
1967	100.324	-5.504	NaN	NaN
1968	264.824	-4.189	NaN	NaN
1969	73.531	-5.937	NaN	NaN
1970	92.488	-6.001	NaN	NaN
1971	206.511	-4.715	NaN	NaN
1972	71.515	-6.445	NaN	NaN
1973	92.347	-5.879	NaN	NaN
1974	108.038	-5.685	NaN	NaN
1975	119.696	-5.579	NaN	NaN
1976	116.257	-5.69	NaN	NaN
1977	123.165	-5.066	NaN	NaN
1978	171.729	-4.623	NaN	NaN
1979	47.039	-5.914	78.17	-6.61
1980	91.761	-5.347	97.365	-6.134
1981	111.56	-3.93	129.964	-5.338
1982	128.354	-5.259	167.246	-6.125
1983	37.049	-6.695	52.826	-7.982
1984	204.713	-3.924	184.776	-5.036
1985	114.999	-5.425	113.3	-6.37
1986	61.176	-5.723	57.693	-7.134
1987	202.587	-3.459	273.932	-4.236
1988	233.586	-4.844	275.27	-5.618
1989	94.151	-5.033	133.143	-5.693
1990	244.311	-4.101	181.983	-4.879
1991	274.273	-4.345	244.961	-5.224
1992	77.501	-7.488	81.486	-8.588
1993	93.487	-5.016	70.23	-6.567
1994	126.146	-5.157	200.28	-5.702
1995	210.788	-3.58	202.988	-4.433
1996	52.476	-6.533	99.705	-7.997
1997	122.118	-5.123	144.294	-5.835
1998	241.397	-3.411	201.622	-5.134
1999	290.658	-4.422	367.415	-4.815
2000	172.861	-4.634	172.948	-5.522
2001	181.052	-3.871	75.319	-5.349
2002	252.018	-4.617	311.517	-5.462
2003	151.563	-4.054	206.293	-4.544
2004	260.602	-3.036	394.088	-3.697
2005	216.735	-3.662	408.616	-3.941
2006	236.6	-4.052	330.699	-4.694
2007	409.403	-1.943	450.519	-2.655
2008	118.883	-5.086	181.38	-5.497
2009	205.92	-4.829	242.975	-5.434
2010	402.874	-1.762	450.59	-3.091
2011	387.124	-3.091	434.918	-4.286
2012	658.954	-2.116	816.415	-2.659
2013	144.88	-5.101	166.673	-5.717
2014	259.207	-3.531	192.244	-4.924
2015	318.804	-4.318	330.115	-5.477
2016	357.861	-2.99	489.714	-3.363
